"","ID","Length.mm.","Body.depth.mm.","Fish.weight.g.","GSI.measure.1.g.","GSI.measure.2.g.","Sample.egg.mass.g.","Oto","Gen.card","Gen.grid","Location","Date","NOTES","Oto.reading","Weird","Label","X","GSI.2","GSI.1"
"1","WF1",428,96,1317,203,194,16,"y",1,9,"Sashin","8/25/21","","PORT ARMSTRONG","n","WF1_Med.JPG","",14.7304479878512,15.4138192862566
"2","WF2",455,111,1717,324,308,16,"y",1,10,"Sashin","8/25/21","loose eggs in skein","No Mark","n","WF2_Med.JPG","",17.9382644146768,18.8701223063483
"3","WF3",386,96,1042,157,150,15,"y",1,11,"Sashin","8/25/21","a little skein left","No Mark","n","WF3_Zoom.JPG","",14.3953934740883,15.0671785028791
"4","WF4",422,105,1396,292,275,13,"y",1,12,"Sashin","8/25/21","some skein and blood","No Mark","n","WF4.JPG","",19.6991404011461,20.9169054441261
"5","WF6",404,94,1144,191,177,14,"y",1,14,"Sashin","8/25/21","skein","No Mark","n","WF6.JPG","",15.472027972028,16.6958041958042
"6","WF7",391,98,1065,213,200,11,"y",1,15,"Sashin","8/25/21","skein","No Mark","n","WF7.JPG","",18.7793427230047,20
"7","WF10",389,90,914,168,152,10,"unknown",2,4,"Lovers","8/27/21","","No Mark","n","WF10.2.JPG","",16.6301969365427,18.3807439824945
"8","WF11",414,101,1285,210,200,12,"y",2,10,"Sashin","8/31/21","skein","No Mark","n","WF11.JPG","",15.5642023346303,16.3424124513619
"9","WF12",410,97,1253,220,210,14,"y",2,11,"Sashin","8/31/21","skein, blood in skein","No Mark","n","WF12.JPG","",16.7597765363128,17.5578611332801
"10","WF15",462,103,1465,262,254,13,"y",2,18,"Sashin","9/1/21","lost some eggs, blood in skein","No Mark","n","WF15.JPG","",17.3378839590444,17.8839590443686
"11","WF16",454,113,1705,294,277,14,"y",2,19,"Sashin","9/1/21","blood in eggs, skein","No Mark","n","WF16.JPG","",16.2463343108504,17.2434017595308
"12","WF17",415,100,1225,213,203,13,"y",2,20,"Sashin","9/1/21","some eggs in skein, some loose, some blood","No Mark","n","WF17.JPG","",16.5714285714286,17.3877551020408
"13","WF18",454,108,1669,272,258,13,"y",2,21,"Sashin","9/1/21","skein, some blood in eggs","No Mark","n","WF18.JPG","",15.4583582983823,16.2971839424805
"14","WF19",384,100,1130,215,201,14,"y",2,22,"Sashin","9/1/21","","No Mark","n","WF19.2.JPG","",17.787610619469,19.0265486725664
"15","WF20",442,104,1469,276,248,14,"y",2,23,"Sashin","9/1/21","skein, some blood in eggs","No Mark","n","WF20.JPG","",16.8822328114364,18.788291354663
